x,y,name,vicinity,place_id,types,rating,user_ratings_total,lat,lng,type
52.108079529075,21.008527272811,ArtDental,"Łabędzia 37/2, Piaseczno",ChIJJ6twpQMuGUcR8_z-dNLSZMg,"doctor,dentist,health",3.2,15,52.0963563,21.0119505,dentist
52.108079529075,21.008527272811,Mini-Dental. Gabinet stomatologiczny,"Topolowa 2, Mysiadło",ChIJdaBp1gEuGUcRGj1fGXiIa60,"dentist,health",4.2,5,52.0964786,21.0082424,dentist
52.108079529075,21.008527272811,Wrzesińska Elżbieta. Firma handlowa,"Topolowa 2, Mysiadło",ChIJ-XSMYgIuGUcRb0j95CMi_v4,"dentist,health",NA,NA,52.0965275,21.0082281,dentist
52.107070073731,21.066914038315,Stomatologia Familijna s.c.,"Julianowska 67A, Józefosław",ChIJXQbS19gtGUcRQvESg6UaPzk,"dentist,doctor,health",5,15,52.0992837,21.0529762,dentist
52.107070073731,21.066914038315,Red+dent Gabinet Stomatologiczny,"Nad Strumykiem 2, Józefosław",ChIJy70nmN4tGUcRWhIMF1LncXY,"dentist,health",NA,NA,52.1016601,21.051648,dentist
52.125553981422,21.038541221357,"Gabinet stomatologiczny Porębska Joanna - protetyka, endodoncja","Stryjeńskich 17, Warszawa",ChIJG05bhYQtGUcR8bobz6W17RM,"dentist,health",3,2,52.135136,21.0512199,dentist
52.125553981422,21.038541221357,Gabinet stomatologiczny,"Kanarkowa 13, Warszawa",ChIJvSZpFnoyGUcRT1Po_FeFU6Y,"dentist,health",1,2,52.13585089999999,21.02743,dentist
52.125553981422,21.038541221357,Dentistry. Adam Goliński,"Stryjeńskich 19, Warszawa",ChIJPxyZeIQtGUcRdJtMkdqVXPY,"dentist,health",4.3,4,52.135696,21.050127,dentist
52.125045314401,21.067745903669,Specjalistyczna Lecznica Dentystyczno - Lekarska GALMED s.c. dr Anna i Gustaw Lech,"Aleja Komisji Edukacji Narodowej 26, Warszawa",ChIJ_YPjoZ4tGUcRdFpvIAsDtaE,"hospital,doctor,dentist,health",5,5,52.1345286,21.0628216,dentist
52.125045314401,21.067745903669,"Euro Dent 2000 Sp. z o.o. Stomatologia zachowawcza, estetyczno - higieniczna, ortodoncja","Polnej Róży 6, Warszawa",ChIJl8gLJJgtGUcRgzTqT5yjGFg,"dentist,health",4.4,20,52.128393,21.0635254,dentist
52.125045314401,21.067745903669,"Gabinet stomatologiczny ""Uśmiech"", Dentysta Ursynów","Wąwozowa 8, Warszawa",ChIJR7Yiu5gtGUcRNKTlrvJe4tg,"doctor,dentist,health",4.6,28,52.1316241,21.0680082,dentist
52.125045314401,21.067745903669,Gabinet Dentystyczny Małgorzata Brzozowska,"lok 119 02 796, Jerzego Zaruby 9, Warszawa",ChIJfSVgpqMtGUcRrFsWnfhLivU,"dentist,health",5,4,52.1292353,21.0726995,dentist
52.125045314401,21.067745903669,Gabinet stomatologiczny MALDENT,"Ksawerego Bronikowskiego 1/212, Warszawa",ChIJW8v8V58tGUcRmU_8YZldWf8,"dentist,health",3,2,52.1326698,21.0686184,dentist
52.125045314401,21.067745903669,SanaDENT. Prywatna praktyka stomatologiczna. Barbara Zawada,"Kabacki Dukt 3, Warszawa",ChIJxWtIpqItGUcRSxJGyV5jxhY,"dentist,health",NA,NA,52.1282648,21.0666653,dentist
52.125045314401,21.067745903669,Ulmax Dental Sp. z o.o.,"LOK 004, Wąwozowa 20, Warszawa",ChIJRROE_ZgtGUcR4fmBSBTxu0M,"dentist,health",5,1,52.13157440000001,21.0629871,dentist
52.125045314401,21.067745903669,Centrum Stomatologii Dental Point,"Wąwozowa 31, Warszawa",ChIJJcoDOpotGUcRGxSr88NXObM,"dentist,health",NA,NA,52.13103929999999,21.0574228,dentist
52.125045314401,21.067745903669,Kabaty Dental,"lokal H 18, Wąwozowa 4, Warszawa",ChIJJyP1k6EtGUcRp-Exm5ve4vY,"dentist,health",4,4,52.13275950000001,21.0726142,dentist
52.125045314401,21.067745903669,Family Dent Tatiana i Grzegorz Szewczak,"Aleja Komisji Edukacji Narodowej 15/lok.u5, Warszawa",ChIJy31_TJktGUcRpiJ2xu4HavI,"dentist,health",5,2,52.1332713,21.0633462,dentist
52.125045314401,21.067745903669,Warszawski Dentysta - Poradnia stomatologiczna Ursynów,"Aleja Komisji Edukacji Narodowej 21, Warszawa",ChIJ-16uEJwtGUcRvk_AthZFwzw,"dentist,health",5,2,52.134766,21.06176,dentist
52.125045314401,21.067745903669,Euro-Med Kabaty. Lecznica lekarsko - stomatologiczna,"Ksawerego Bronikowskiego 3, Warszawa",ChIJLUFYXJ8tGUcRZaAVH-MPBQs,"dentist,health",4.2,5,52.1334061,21.0697576,dentist
52.125045314401,21.067745903669,Dentist Smile Supervisor Piotr Sobiech,"Aleja Komisji Edukacji Narodowej 11, Warszawa",ChIJP_wWQ5ktGUcRfYDtjjR6eMY,"dentist,health",4.8,21,52.1325151,21.06247279999999,dentist
52.125045314401,21.067745903669,Meldent. Przychodnia stomatologiczna,"Wąwozowa 8, Warszawa",ChIJR7Yiu5gtGUcRBHi7cyri_nU,"dentist,health",NA,NA,52.131922,21.06766099999999,dentist
52.125045314401,21.067745903669,A-Zdent,"Kabacki Dukt 1/3, Warszawa",ChIJFaBzrqItGUcRHt-_IBDNdmQ,"doctor,dentist,health",5,6,52.1276379,21.0667563,dentist
52.125045314401,21.067745903669,NZOZ Dental Medic Radziejewscy Stomatologia,"Kabacki Dukt 16, Warszawa",ChIJ5U1n9ZgtGUcRsrRMg1Q8RJY,"dentist,health",5,3,52.1299627,21.0652257,dentist
52.125045314401,21.067745903669,"Dobry Dentysta ""Uśmiech"" Ursynów Leczenie Kanałowe Zębów Stomatologia Dziecięca Wybielanie Zębów","Wąwozowa 8/1, Warszawa",ChIJVVVFHsUyGUcROjsrv9wjJas,"dentist,health",5,2,52.13193920000001,21.0675298,dentist
52.125045314401,21.067745903669,Implanty Ursynów dr Małgorzata Połucha-Repetowska,"Wąwozowa 8, Warszawa",ChIJ_2gcddMtGUcRhXWkG4QUqSo,"dentist,health",5,3,52.13193920000001,21.0675298,dentist
52.125045314401,21.067745903669,ORTODONCJA Kabaty,"Wąwozowa 20/lokal 007, Warszawa",ChIJV1VFEpktGUcRFn6Y1nQneWk,"dentist,health",4.8,13,52.1315019,21.0635397,dentist
52.125045314401,21.067745903669,K & K Dent. Stomatologia,"Melchiora Wańkowicza 2, Warszawa",ChIJE73HMp8tGUcR2GNu4lSKqWA,"dentist,health",4.7,12,52.1329283,21.0667238,dentist
